State,Measles Cases,Population,"Case Rate per 100,000",,Sources:
Delaware,0,"1,059,952",0.0000,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-state-total.html#v2025
District of Columbia,0,"693,645",0.0000,,https://www.cdc.gov/measles/data-research/index.html
Maine,0,"1,414,874",0.0000,,
Massachusetts,0,"7,154,084",0.0000,,
Mississippi,0,"2,954,160",0.0000,,
New Hampshire,0,"1,415,342",0.0000,,
West Virginia,0,"1,766,147",0.0000,,
North Carolina,2,"11,197,968",0.0179,,
Alabama,1,"5,193,088",0.0193,,
Oregon,1,"4,273,586",0.0234,,
Connecticut,1,"3,688,496",0.0271,,
Florida,8,"23,462,518",0.0341,,
Maryland,3,"6,265,347",0.0479,,
Nevada,2,"3,282,188",0.0609,,
Louisiana,3,"4,618,189",0.0650,,
California,26,"39,355,309",0.0661,,
Virginia,6,"8,880,107",0.0676,,
Georgia,10,"11,302,748",0.0885,,
Rhode Island,1,"1,114,521",0.0897,,
Missouri,6,"6,270,541",0.0957,,
Tennessee,8,"7,315,076",0.1094,,
Illinois,14,"12,719,141",0.1101,,
Pennsylvania,16,"13,059,432",0.1225,,
New Jersey,12,"9,548,215",0.1257,,
New York,26,"20,002,427",0.1300,,
Washington,11,"8,001,020",0.1375,,
Hawaii,2,"1,432,820",0.1396,,
Indiana,10,"6,973,333",0.1434,,
Nebraska,5,"2,018,006",0.2478,,
Arkansas,8,"3,114,791",0.2568,,
Iowa,9,"3,238,387",0.2779,,
Kentucky,13,"4,606,864",0.2822,,
Michigan,29,"10,127,884",0.2863,,
Vermont,2,"644,663",0.3102,,
Ohio,40,"11,900,510",0.3361,,
Oklahoma,17,"4,123,288",0.4123,,
Minnesota,26,"5,830,405",0.4459,,
Alaska,4,"737,270",0.5425,,
Colorado,35,"6,012,561",0.5821,,
Wisconsin,36,"5,972,787",0.6027,,
Idaho,14,"2,029,733",0.6897,,
South Dakota,16,"935,094",1.7111,,
Texas,803,"31,709,821",2.5323,,
Wyoming,15,"588,753",2.5478,,
Arizona,221,"7,623,818",2.8988,,
Kansas,91,"2,977,220",3.0565,,
Montana,36,"1,144,694",3.1449,,
North Dakota,36,"799,358",4.5036,,
New Mexico,100,"2,125,498",4.7048,,
Utah,189,"3,538,904",5.3406,,
South Carolina,333,"5,570,274",5.9782,,